FII_TICKER,FII_NAME,FII_CNPJ
MGRI11,MOGNO PROPERTIES FUNDO DE INVE-UNICA,41320997000144
MINT11,FII MINT EDUCACIONAL-CLASSE UN,19872887000136
MMVE11,MARESIAS FI-UNICA,41251337000159
MORC11,MORE RECEBIVEIS IMOBILIARIOS F-UNICA,40102474000169
MORC12,MORE RECEBIVEIS IMOBILIARIOS F-UNICA,40102474000169
MORE11,MORE REAL ESTATE FOF FII FUNDO-UNICA,34197727000122
MTOF11,ALIANZA MULTIOFFICES - FUNDO D-UNICA,22862226000134
MXRF11,MAXI RENDA FII-UNICA,97521225000125
NAVT11,NAVI IMOBILIARIO TOTAL RETURN -UNICA,35652252000180
NCHB11,FII NCH BRASIL RECEB. IMOB.-UNICA,18085673000157
NCRI11,NAVI CRED IMOB - FII-UNICA,40041603000156
NEWL11,NEWPORT LOGISTICA FI,32527626000147
NEWU11,NEWPORT RENDA URBANA FII-CLASSE UN,14793782000178
NSLU11,HOSP NOSSA SENHORA DE LOURDES -UNICA,08014513000163
NVHO11,FII NOVO HORIZONTE-CLASSE UN,17025970000144
NVIF11B,FII NOVA I-UNICA,22003469000117
OGHY11,ORAMA HIGH YIELD FII-UNICA,47240631000141
ONEF11,FII THE ONE,12948291000123
OUFF11,OURINVEST FOF FII-UNICA,30791386000168
OUJP11,OURINVEST JPP FUNDO DE INVESTI-CLASSE UN,26091656000150
OULG11,FII OURINVEST LOGISTICA-UNICA,13974819000100
OURE11,OURINVEST RENDA ESTRUTURADA FI-UNICA,28516650000103
PABY11,FUNDO PANAMBY,00613094000174
PATC11,PATRIA EDIFICIOS CORPORATIVOS -UNICA,30048651000112
PATL11,PATRIA LOGISTICA FUNDO DE INVE-UNICA,35754164000199
PBLV11,PROLOGIS BRAZIL LOGISTICS VENT-UNICA,31962875000106
PEMA11,PERFORMA REAL ESTATE FII-UNICA,34736510000143
PLCR11,PLURAL RECEBIVEIS IMOBILIARIOS FUNDO DE,32527683000126
PLOG11,PLURAL LOGISTICA FII-CLASSE UN,36501198000134
PLRI11,POLO FII RECEBIVEIS IMOBILIARIOS I,14080689000116
PNPR11,PANORAMA PROPERTIES FII-UNICA,26813118000122
PORD11,POLO CRED IMOB FII-UNICA,17156502000109
PQAG11,PARQUE ANHANGUERA FII-UNICA,12978943000172
PQDP11,PARQUE DOM PEDRO SHOPPING CENT-UNICA,10869155000112
PRSN11B,PERSONALE I FII,14056001000162
PRSV11,PRESIDENTE VARGAS FII-CLASSE UN,11281322000172
PVBI11,FII VBI PRIME PROPERTIES-UNICA,35652102000176
QAGR11,QUASAR AGRO - FI IMOB,32754734000152
QAMI11,QUASAR CRED IMOB FII-CLASSE UN,32400264000129
RBDS11,RB CAPITAL DESENV RESIDENCIAL -UNICA,11945604000127
RBED11,RIO BRAVO RENDA EDUCACIONAL-UNICA,13873457000152
RBFF11,RIO BRAVO FUNDO DE FII-UNICA,17329029000114
RBHG11,RIO BRAVO CRED IMOB -UNICA,30647758000187
RBHY11,RIO BRAVO CRED IMOB -UNICA,37899479000150
RBHY12,RIO BRAVO CRED IMOB -UNICA,37899479000150
RBIR11,RB CAPITAL DESENVOLVIMENTO RESIDENCIAL I,31161410000148
RBLG11,RB CAPITAL LOGISTICO FUNDO DE -A,35652227000104
RBOP11,FI IMOBILIÁRIO RIO BRAVO OPORTUNIDADES IMOBILIÁRIA,13500306000159
RBRD11,FII RB CAPITAL RENDA II,09006914000134
RBRF11,RBR ALPHA MULTIESTRATEGIA REAL-RBRF11,27529279000151
RBRI11,RBR DESENVOLVIMENTO III FI IMO-UNICA,32441656000136
RBRL11,RBR LOG FI-UNICA,35705463000133
RBRM11,FII RBR DESENVOLVIMENTO-UNICA,26314437000193
RBRP11,FII RBR PROPERTIES - FII-UNICA,21408063000151
RBRR11,FI IMOBILIA-UNICA,29467977000103
RBRS11,RIO BRAVO RENDA RESIDENCIAL FU-PRIMEIRA,36517660000191
RBRX11,FII RBR PLUS MULTIESTRATEGIA R-UNICA,41088458000121
RBRY11,FI IMOBILIA-UNICA,30166700000111
RBTS11,RB CAPITAL TFO SITUS FUNDO DE INVESTIMEN,29299737000139
RBVA11,FII AGENCIAS CAIXA,15576907000170
RBVO11,FII CRED IMOB II,15769670000144
RCFA11,GRUPO RCFA FUNDO DE INVESTIMEN-UNICA,27771586000144
RCFF11,RBR DESENVOLVIMENTO COMERCIAL FEEDER FOF,35689670000141
RCRB11,FI IMOBILIARIO RIO BR,03683056000186
RDPD11,FII BB RENDA DE PAPEIS II,23120027000113
RECR11,FII FII REC RECEBIVEIS IMOBILI-UNICA,28152272000126
RECT11,FII FII REC RENDA IMOBILIARIA-UNICA,32274163000159
RECX11,FII REC FUNDO DE FUNDOS-UNICA,36642356000176
REIT11,SINGULARE FII-UNICA,16841067000199
RELG11,FII REC LOGISTICA-UNICA,37112770000136
REON11,FII RESIDONE,20173064000100
RFOF11,FI IMOBILIARIO RB CAP,34027774000128
RINV11,REAL INVESTOR FII-UNICA,44625612000145
RMAI11,REAG MULT ATIVOS IMOBILIARIOS-UNICA,17374696000119
RNDP11,FII BB RENDA DE PAPEIS IMOBILI-UNICA,15394563000189
RNGO11,FII RIO NEGRO FII,15006286000190
ROOF11,FI IMOBILIA-UNICA,38456598000109
RPRI11,RBR PREM REC IM FII-UNICA,42502842000191
RRCI11,RB CAPITAL RECEBIVEIS IMOBILIA-UNICA,35689733000160
RSPD11,RB CAPITAL DESENVOLVIMENTO RES-UNICA,19249989000108
RVBI11,VBI REITS FOF FI IMOB,35507457000171
RZAK11,RIZA AKIN FUNDO DE INVESTIMENT-UNICA,36642219000131
RZAK12,RIZA AKIN FUNDO DE INVESTIMENT-UNICA,36642219000131
RZAT11,RIZA ARCTIUM REAL ESTATE FII-UNICA,28267696000136
RZTR11,FII RIZA TERRAX-CLASSE UN,36501128000186
SADI11,SANTANDER PAPEIS IMOBILIARIOS -UNICA,32903521000145
SAIC11B,FII SIA CORPORATE,17311079000174
SARE11,SANTANDER RENDA DE ALUGUEIS FU-UNICA,32903702000171
SCPF11,SCP,01657856000105
SDIL11,SDI,16671412000193
